tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
9503,5,1305500,150800,122200,48600,41800,33600,970300,200
9504,5,1882900,205500,104900,49500,41900,32900,1509800,200
9505,5,2279500,78900,98000,62900,54700,51300,2026900,200
9506,5,1606200,79700,114500,48100,43800,41700,1353300,200
9507,5,1505100,88000,104300,47100,41400,33600,1253500,200
9508,5,1647400,118500,112200,48800,43000,35000,1352700,100
9509,5,1833000,75500,166600,53900,42400,34500,1513000,200
9510,5,1820000,86500,123900,58600,42100,34200,1525400,200
9511,5,1615000,109500,100200,60400,42600,46400,1322900,100
9512,5,1374700,114200,122300,53400,43600,34500,1063400,100
9513,5,1561100,78900,87400,58500,52300,34300,1301200,100
9514,5,1326000,75300,103500,81000,43200,34300,1015200,200
9515,5,1864800,128400,97000,63200,43200,44200,1559200,200
9516,5,1312000,114500,117700,55700,42900,41900,1001700,200
9517,5,1289800,72200,100500,63400,42000,35400,1031000,200
9518,5,1469300,87600,107400,63200,43800,41400,1162500,200
9519,5,1438300,141200,102200,67300,43300,32900,1096200,200
9520,5,1195700,89800,106800,51200,40800,30900,934900,100
9521,5,1405900,79100,108100,46900,39900,30400,1153000,200
9522,5,1335000,116500,115700,48800,42600,35900,1002100,100
9523,5,1364300,72300,154500,47000,42700,35700,1075800,200
9524,5,1355100,100400,91400,48600,41800,36200,1099300,200
9525,5,1144900,88500,104200,47600,42100,36100,888100,100
9526,5,1375300,107200,112300,54200,43500,36200,1062600,200
9527,5,1240300,132500,119700,56900,42700,36400,911300,200
9528,5,1271400,123300,120900,58900,43100,35200,954800,200
9529,5,1737000,118800,93700,62800,43500,41800,1413800,100
9530,5,1874000,114500,146700,67600,52800,35500,1522800,200
9531,5,1652000,134100,102100,62000,42500,36000,1330700,100
9532,5,1756600,82200,124600,48600,44200,41500,1450500,200
9533,5,1826000,84500,133700,59600,51200,44900,1524000,200
9534,5,1769100,104700,156200,54300,43200,35700,1427200,100
9535,5,1373300,78600,113200,55500,41100,36600,1102500,200
9536,5,1572200,112900,123800,75600,52800,35600,1234900,200
9537,5,1952800,87500,129300,69300,53200,43800,1636800,200
9538,5,2524300,91400,123600,64500,54600,51600,2168500,200
9539,5,1378800,83700,117800,54700,43000,35500,1085100,100
9540,5,1693800,81500,117700,42700,39600,35700,1438200,200
9541,5,1682400,100200,96200,61400,41600,33600,1411200,200
9542,5,1686600,93700,105000,63300,43000,34200,1411000,100
9543,5,1173700,95500,95400,48200,42600,35300,923700,100
9544,5,1294600,90600,92700,55000,44100,41000,1024200,200
9545,5,1726800,140200,80600,67000,54200,35900,1418600,100
9546,5,1652000,79800,106900,52900,44300,42000,1390900,200
9547,5,1253200,80500,105700,57600,44200,42100,995000,200
9548,5,1688200,60100,110400,54500,42700,35200,1447000,200
9549,5,1768600,84600,102500,44600,42000,33800,1513300,100
9550,5,1119700,120800,117400,51900,42300,29800,782400,200
9551,5,942000,94400,92600,58000,42600,37000,674800,100
9552,5,1839400,102400,130900,57500,42500,36400,1531700,200
9553,5,1782400,82500,117100,56600,51100,41600,1505800,100
9554,5,1607600,74900,107000,48100,41300,36100,1361200,100
9555,5,1335700,102100,119000,51100,43000,35300,1020800,200
9556,5,1130600,69900,109700,54800,43100,35700,874300,200
9557,5,1085800,199700,94600,56600,42600,33300,709400,100
9558,5,1371100,98100,102100,54600,43000,35700,1062300,100
9559,5,1625600,120000,80400,53400,43000,35200,1341100,100
9560,5,2739600,106500,81000,64400,52600,34900,2470200,300
9561,5,1273800,69300,108100,44400,41500,33600,1023000,100
9562,5,1514600,70600,113200,66300,43700,35700,1223500,200
9563,5,1526900,104600,104500,52200,42900,35400,1251700,200
9564,5,1696000,140200,115300,50300,40500,34800,1375800,100
9565,5,1510600,92900,121400,70900,42000,34100,1211800,200
9566,5,1397500,85300,119100,44600,40700,34500,1136500,200
9567,5,1339700,76800,90700,55400,43900,40900,1106200,100
9568,5,1569300,223400,99600,61000,51400,35700,1173500,200
9569,5,1480400,81100,116700,47800,43900,41200,1208300,200
9570,5,1281300,101900,94700,49600,42200,28700,1009300,200
9571,5,1201200,80100,117700,45700,42800,32900,937300,100
9572,5,1514400,97100,104200,53800,42900,35600,1238100,100
9573,5,1251900,120800,76900,51300,41200,31900,980700,100
9574,5,1583400,108100,98800,63600,45400,33900,1264800,100
9575,5,1371500,138600,102300,52200,43200,35400,1061300,200
9576,5,1862500,96100,122000,56100,41900,35500,1567000,200
9577,5,1775100,87700,95400,58700,51900,35200,1510000,200
9578,5,1519500,80600,123000,49600,42300,35100,1210800,200
9579,5,1577400,101000,102000,54000,43200,36000,1292000,200
9580,5,1638300,118600,112500,56700,43200,34600,1289900,200
9581,5,1493300,89000,103300,47100,43400,41100,1208600,200
9582,5,2011100,79000,111800,55300,51200,33300,1746100,100
9583,5,1639700,111200,130900,60300,53600,34100,1320600,200
9584,5,1665400,113900,120000,149000,40900,137600,1264100,100
9585,5,1418100,107500,114300,54600,43100,34200,1123900,100
9586,5,1569600,123400,108400,58900,43000,34100,1238400,200
9587,5,1760800,87500,119000,51900,42200,34900,1489300,100
9588,5,1516100,104900,105200,52000,42200,34500,1240500,200
9589,5,1544600,63600,82800,49700,43700,41600,1333000,100
9590,5,1562400,79500,110500,46000,43000,33100,1306700,200
9591,5,1382000,93700,102900,48600,41800,35500,1115200,100
9592,5,1551000,154900,117200,54300,42400,36400,1208300,100
9593,5,1535700,64500,90300,64300,42700,42700,1297400,200
9594,5,1645800,81900,101300,59100,42900,34800,1379200,200
9595,5,1331700,80100,87700,50400,43600,41700,1095500,100
9596,5,1747100,103400,89600,61800,41700,34400,1467000,200
9597,5,1603200,104500,80100,65300,53700,44400,1325300,100
9598,5,1563100,77200,119200,46700,42900,35000,1232400,200
9599,5,1172400,88000,107800,51600,43500,36200,896600,100
9600,5,1355600,75200,103900,51000,42400,32200,1112800,200
9601,5,1757700,88700,99800,44600,42000,37200,1511100,100
9602,5,1295200,104300,83700,51000,43200,36400,1043000,100
9603,5,1147000,86800,79000,47700,41400,37100,921800,100
9604,5,1312800,100800,102500,53500,42900,34100,1043600,200
9605,5,1624400,79100,90300,50000,43200,36000,1385600,100
9606,5,1098600,103100,94500,53900,42400,35500,828600,200
9607,5,917400,149700,119600,58500,43300,35000,575100,100
9608,5,1079000,104700,108100,56300,43900,36100,792600,200
9609,5,1214900,86700,92500,51200,42100,37600,963000,200
9610,5,1245900,84400,99300,55300,42700,36200,961900,100
9611,5,1061400,73100,99900,57100,42800,28900,809900,100
9612,5,895200,68500,94300,50200,43000,41400,668300,200
9613,5,990400,82900,129400,46100,42000,34800,714900,200
9614,5,800300,132600,126700,53300,42900,32800,467500,200
9615,5,996500,112200,102400,158100,42800,145700,604300,200
9616,5,721200,66900,107100,45700,40700,34700,478100,200
9617,5,1253400,100700,101300,54000,43000,36400,970800,200
9618,5,991000,131100,93500,55500,43200,33500,653500,200
9619,5,1334600,78900,93700,44400,42200,35100,1088000,200
9620,5,1406900,95300,126600,54200,43400,35000,1112400,200
9621,5,1134800,81900,93300,55600,40900,33000,889200,100
9622,5,958000,111400,161600,66100,43000,36800,582000,100
9623,5,1264800,217600,119500,79800,43100,35000,834400,200
9624,5,1941100,153400,116500,54800,43300,34800,1603200,200
9625,5,1891300,81900,92200,49400,42900,35700,1654500,200
9626,5,1383400,108200,124400,53900,42800,35100,1083100,200
9627,5,1820900,81900,101700,51100,43100,36300,1573100,200
9628,5,1592700,80900,95800,49100,42900,36300,1351200,200
9629,5,1550600,84900,97100,44100,40700,35500,1300100,200
9630,5,2323200,78500,118300,80700,53000,43800,2016800,200
9631,5,1598500,107400,108200,52900,42800,34200,1305900,200
9632,5,1911300,80200,78300,72500,43200,35000,1659300,200
9633,5,1896400,80600,88500,45400,43000,34700,1659900,200
9634,5,1533500,79300,105400,61000,53700,34500,1241800,100
9635,5,1468200,81300,100800,49800,44200,41300,1217900,200
9636,5,1329100,78700,100500,45400,40900,35700,1082700,200
9637,5,1410500,129200,102200,55400,43000,35600,1100400,100
9638,5,1530800,82400,95200,52300,43200,35500,1253900,100
9639,5,1541000,82100,107400,46200,40900,32200,1276300,100
9640,5,1418200,96600,99900,51900,43000,35000,1154100,100
9641,5,2449800,79600,106300,64200,43000,36600,2179000,100
9642,5,1620700,136500,106500,66800,43100,34800,1291600,200
9643,5,1524700,80100,98400,56000,44800,40600,1275500,200
9644,5,1760200,90800,100000,48500,44400,41300,1476400,100
9645,5,1401800,88700,129900,53300,41900,30500,1110900,200
9646,5,1677600,101400,118400,50100,41700,35200,1368200,200
9647,5,1301300,101800,122400,53700,43000,35600,1006800,100
9648,5,1624100,103000,97800,57700,42900,35600,1352500,100
9649,5,1713700,74600,111400,50000,43200,35500,1455300,200
