tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
10315,4,1679300,84500,97600,78100,53600,65600,1387800,10900
10316,4,1460500,110200,104600,64900,52400,56100,1147200,10900
10317,4,1441200,81000,96200,79400,53100,69000,1154800,10700
10318,4,1285800,75800,103900,66000,51400,59300,981300,10900
10319,4,1229300,78700,102400,58500,47300,50800,930600,10800
10320,4,1883200,88600,111200,68500,49700,58800,1568900,15400
10321,4,2561300,86300,103300,93200,65500,80700,2254000,10800
10322,4,2681200,138400,124600,73600,63300,61600,2318700,11500
10323,4,1785200,132600,105300,73000,51400,60900,1450300,10700
10324,4,1596700,91900,111600,67200,56500,55100,1299700,10900
10325,4,1723500,91700,126200,69100,50800,59700,1404900,10600
10326,4,1125900,146800,97400,72200,52300,62400,781600,10900
10327,4,1340300,104600,109400,56800,48000,44400,1044000,10500
10328,4,1055500,98000,105200,60000,49500,48600,764600,11100
10329,4,1943500,83700,94800,78000,53500,66300,1659000,10600
10330,4,1393500,117200,97000,62700,50500,53100,1064200,10700
10331,4,1499000,107300,116600,71300,63400,56400,1172500,10600
10332,4,1585100,96200,120200,69500,50300,57400,1262700,10900
10333,4,1096500,171600,93700,61800,51100,52700,739300,10600
10334,4,1547500,80400,100300,56400,47600,50100,1283600,10400
10335,4,1640500,88900,126200,70500,49800,58400,1326700,10700
10336,4,1350500,85900,102100,62900,53000,53100,1064500,10700
10337,4,1706500,82100,105900,62700,51700,53600,1423600,10600
10338,4,1481700,82000,115200,62600,51400,52000,1184400,12800
10339,4,1646100,83700,91000,78000,53900,65100,1331200,10800
10340,4,1423700,80700,106000,56100,47600,47000,1136500,10800
10341,4,1090400,93900,99800,71900,51100,59200,801400,10400
10342,4,1584000,83000,93100,64800,47600,55200,1297200,10500
10343,4,1417200,84900,118500,62900,50000,53900,1126600,11000
10344,4,1090000,101600,113500,61600,50300,52000,788700,10900
10345,4,2013500,84100,107400,61300,50500,50800,1736400,10900
10346,4,1375000,88700,93700,74000,52300,61600,1094400,11000
10347,4,1692900,147600,95100,68800,51100,56800,1357900,10500
10348,4,1539900,79600,79700,79700,50600,58000,1274000,10800
10349,4,1259400,80600,90000,53300,46300,47200,1005600,10800
10350,4,1620400,109700,92800,63400,51800,54200,1321800,10700
10351,4,1416400,78400,97300,64400,48700,54000,1141900,10600
10352,4,1255000,103100,91700,60400,49900,51600,966400,10300
10353,4,1935600,76000,98700,67700,51600,60800,1656300,10900
10354,4,1409000,131400,105100,58300,47800,45500,1061400,10800
10355,4,1953700,93500,91600,63400,52500,53500,1676700,11000
10356,4,1445600,82400,84700,62300,51700,53900,1186000,10500
10357,4,1205700,89400,95400,62600,52600,51500,932200,10700
10358,4,1137300,122000,86700,60300,50500,52400,835300,10700
10359,4,1368500,84700,83200,59200,51600,52600,1082100,11100
10360,4,1031200,77900,82600,58100,53000,55300,770100,10800
10361,4,1794300,82000,79400,77900,53700,67600,1528100,10400
10362,4,1174400,87800,84600,62600,52300,51900,914600,10600
10363,4,1861000,82700,78400,91400,65000,79400,1580400,10800
10364,4,1341900,179900,93700,62000,51300,48700,974300,10800
10365,4,1646700,100700,83000,92900,64700,80700,1343000,10900
