fileName,run,wholeUpdate_average,controlBehaviorUpdate_average,transportLinesUpdate_average,electricHeatFluidCircuitUpdate_average,electricNetworkUpdate_average,fluidFlowUpdate_average,entityUpdate_average,trains_average,spacePlatforms_average
18_lady_meyneth,6,1207631.5500992758,126773.97018932296,90346.68754719092,133635.48197656535,98551.04728879443,122041.5811404122,796954.1430129478,11468.975642495596,122.50901870857686
18_lady_meyneth,7,1210119.2650801197,129128.7843619788,92171.60994434968,133996.266674124,99047.7250482396,122445.37039626388,794412.2878156548,11518.087754131828,119.13923767443161
18_lady_meyneth,8,1201259.2130652424,127948.58077686735,91360.45471070221,134032.16812550687,98227.2239156576,122492.83537011662,788290.5058866299,11767.490701641545,129.6764450907464
18_lady_meyneth,9,1208905.5622360804,127251.78556447328,90827.85033138511,134047.1825274756,98661.86134959031,122551.20668922509,797127.6769484605,11209.267596968595,131.51933778908807
14_abucnasty,0,1209160.650465617,142878.86685869293,104767.69484605275,102810.79728180318,91558.3321681255,56040.30314046813,808635.2946111468,163.32112195531195,130.3196398109567
14_abucnasty,1,1207924.388265891,142336.15872927094,105218.88475628513,102949.49802846836,91746.52255376268,55931.141810453315,806777.1554014374,162.09625548812886,123.56889174753209
14_abucnasty,2,1203614.3152772728,141950.471210045,103988.2910595934,101215.01160546995,90007.69596465226,52245.4514947286,806928.0293073072,149.44489499147068,127.35535110042227
14_abucnasty,3,1208431.715092704,141958.77121843453,105277.34835985347,101284.60247769792,90124.1673424872,52249.31066304986,808391.1966218295,158.0469252495875,122.69918062585643
14_abucnasty,4,1203957.5016079869,141777.98036857854,103247.08465001818,102772.17483710394,91575.62571660281,56464.40336698454,805550.1552056825,154.43384882127577,122.42512374507118
14_abucnasty,5,1210002.583964876,141632.13456752145,103973.22072764898,101529.55339914426,90389.20271819682,52329.19544729998,812248.7233983054,162.49895131295617,131.43544282558238
14_abucnasty,6,1209617.0111021001,143274.32814116727,105629.09756984256,101273.95620682905,90093.58762828939,52107.13107189798,810111.7397018932,152.22181828350904,126.23954808579659
14_abucnasty,7,1217632.7497972539,144227.45882155542,105859.79194049051,101624.13937749938,90418.80645431919,52666.84471042255,815861.3579798093,166.77200145417936,130.25532033893566
14_abucnasty,8,1209204.547107022,143932.60717581588,106060.94409798931,102643.25344668476,91404.82675690037,55953.625660672835,806726.8268128303,161.24332335915435,123.37872983025252
14_abucnasty,9,1212980.130876143,143690.2430157443,105773.62621997259,102984.98839453005,91742.88710534411,56215.01719846752,809378.9535501552,155.02670656338265,124.70147375485891
13_phlap,0,1275785.7042982187,156696.59945747923,117037.78629156297,103001.33672641852,92540.7338012808,44412.8135574261,838981.8451298974,160.6812271036662,127.40848457730921
13_phlap,1,1322391.8034620655,159370.9611566319,119144.8586369865,104733.24477753852,93762.99672809642,48641.52800693532,876925.7417713023,160.77351156352248,126.0717581587852
13_phlap,2,1291842.1152716798,159519.23431863307,119802.97827120445,104784.55773371739,93780.41052602143,47650.116054699516,846214.8522050392,157.26390559020106,128.80673396907073
13_phlap,3,1282783.5705696468,156639.4809698258,115777.09387846416,105047.92639615202,94032.48412986941,47561.71593165357,844207.1981878688,166.03931877289634,125.09018708576862
13_phlap,4,1289893.165356973,157541.25674655332,117650.06571772142,104837.22139880869,93865.68416342739,47395.0278251629,847966.9397913812,131.13062445817837,122.9872200005593
13_phlap,5,1280178.310355435,156976.1542548729,115982.86025895578,104449.81123633211,93448.68704382113,48063.51128387259,842582.043681311,153.91090354875695,123.10467294946727
13_phlap,6,1285906.6053301266,159073.22352414776,118968.13948935932,104990.03607483431,93993.6687267541,47446.43865879918,841820.9485723873,163.07503006236192,126.6897843899438
13_phlap,7,1286191.6748231214,157368.99801448587,116415.94563606365,105352.51265415699,94404.7344724405,47431.787801672304,845814.1111328617,158.97815934450068,121.40160519030174
13_phlap,8,1360464.8927542716,164813.71682653317,124686.24961548141,106536.70963953131,95085.17575994854,49378.100618026234,894780.4245085154,150.75085992337594,143.65893900836153
13_phlap,9,1294694.6894488102,157519.3657540759,116696.91266534298,105094.98308118236,94073.38012807965,47437.13191084762,851945.9604575072,158.95858385301602,129.88338600072709
12_phlap,0,1213648.3095164853,140568.88615453453,109378.47255236444,99350.52434352192,88216.34833188848,76012.53390754775,816531.7206857015,162.52411980200787,126.27030957241534
12_phlap,1,1212166.5510780504,139711.12726865965,106148.84924075058,99617.68785480579,88442.06773120054,76378.91719567102,817950.78162141,161.09790542241115,124.87206018065382
12_phlap,2,1214390.9784949243,140180.74051287788,107331.15579294723,99767.46832965128,88561.5593277217,75992.16421040856,819209.7569842557,162.89605414021645,120.1319947425823
12_phlap,3,1214263.3966274224,138147.09583601332,106373.06971671467,100117.9227607036,88996.98817081015,76359.11518778489,820058.9669733493,150.42926256327078,128.35090466735647
12_phlap,4,1207797.6117900389,139222.43910623898,106508.44542632625,100290.23182974916,89189.19992169803,76404.39329958892,813513.9069884504,161.17061439078273,125.4285634385749
12_phlap,5,1207704.7876059173,137914.08876087138,105571.17089404067,99760.25895578736,88699.31485779803,76163.3239184541,817130.3252328085,157.1464526412931,120.30258116837719
