tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate
724,0,8009400,24500,113900,238800,207200,229700,7567100
725,0,5415000,31300,126600,343200,207500,337900,4845100
726,0,7469100,27900,115500,345400,266000,338600,6874500
727,0,9013900,28600,121100,201700,175700,195000,8589300
728,0,15135100,51800,105000,223700,187800,218100,14685000
729,0,8393900,54900,126200,231600,213300,226400,7923900
730,0,7625400,74200,124600,196500,176300,189900,7111600
731,0,8355800,29600,112700,242400,222700,232000,7809600
732,0,8994200,34500,113500,228200,222800,193200,8490700
733,0,7663800,32800,135400,223000,207300,210900,7220600
734,0,8021800,117400,115400,236100,206900,225700,7482500
735,0,10535100,41900,118300,207600,200900,151700,10101400
736,0,11292400,62700,112700,237700,204900,232300,10816200
737,0,8186700,23300,134000,244900,219600,239600,7730100
738,0,7783800,65300,130300,210700,199100,202200,7272300
739,0,8448100,50300,116100,225500,183000,219600,7963300
740,0,8906700,61500,107800,232700,212100,224400,8359500
741,0,8248000,36200,101100,235200,200600,227300,7672300
742,0,8086600,26900,124800,233500,211600,225100,7606500
743,0,7323100,76200,115800,229100,212800,223800,6877200
744,0,9868500,38000,125500,198300,189600,165600,9471900
745,0,7027100,23500,118100,218100,211000,213100,6637800
746,0,7419500,70600,130200,233800,215900,224900,6958000
747,0,5428800,23300,127400,188100,185500,179200,5048800
748,0,7349500,69200,106200,213700,176000,207100,6908000
749,0,5460700,74600,138800,215700,156700,209700,4966600
750,0,7329300,63300,113800,226200,206500,215400,6857100
751,0,9182500,61100,114100,237400,211600,226200,8686400
752,0,9789300,51200,122400,214300,207700,183100,9333800
753,0,8195100,53400,118000,217300,180200,208600,7729800
754,0,7323300,24100,115100,217100,154900,210700,6871000
755,0,7864600,95400,113600,213100,205300,189500,7378700
756,0,8950500,67900,115500,223000,180900,215500,8418600
757,0,7369400,35900,106700,214900,208000,205800,6958100
758,0,8452900,38900,116000,211200,202400,207600,7987800
759,0,10652000,62900,102700,203400,180100,193200,10208300
760,0,11259900,54800,120900,226000,172800,219600,10812600
761,0,8909500,24900,110500,244000,221800,235500,8476500
762,0,7241300,46800,121500,236300,222300,227500,6735200
763,0,7736700,39100,146900,228500,209100,220300,7229200
764,0,8553300,53000,130500,229900,210200,220600,8099200
