tick,run,wholeUpdate,transportLinesUpdate,entityUpdate
25690,1,1786500,142800,1370100
25691,1,1677900,111900,1385000
25692,1,1844900,132700,1491700
25693,1,1620400,129900,1274900
25694,1,1596600,126300,1280700
25695,1,1725900,141600,1394500
25696,1,1629700,135400,1320100
25697,1,1942600,153800,1548400
25698,1,1665200,144700,1261700
25699,1,2258400,176000,1840200
25700,1,2307700,163300,1910400
25701,1,1966400,154600,1567700
25702,1,2063000,160300,1665000
25703,1,1912100,178700,1559400
25704,1,2018000,178100,1615800
25705,1,2060500,183700,1685200
25706,1,1913700,185700,1548100
25707,1,2460700,196300,2029200
25708,1,2286200,159700,1955300
25709,1,2517100,149800,2166800
25710,1,2049900,147100,1672200
25711,1,2005000,154700,1648100
25712,1,2215500,164800,1826100
25713,1,2352800,152000,1996700
25714,1,2606300,157200,2174600
25715,1,2406400,155400,2033600
25716,1,1984200,170200,1602100
25717,1,2304800,173100,1909600
25718,1,2378100,161900,1933100
25719,1,2090600,156600,1673700
25720,1,1742000,137600,1395900
25721,1,2278200,142800,1905300
25722,1,2090900,256900,1602600
25723,1,1911500,167300,1565000
25724,1,1808200,183200,1402300
25725,1,2290600,160100,1908200
25726,1,2337800,162000,1937300
25727,1,2217000,182700,1822500
25728,1,1664300,134400,1380600
25729,1,1927700,147000,1561600
25730,1,2249300,148700,1771800
25731,1,2050600,161800,1655000
25732,1,1865200,154500,1518000
25733,1,1815900,154500,1453000
25734,1,2343600,163600,1958300
25735,1,2095900,148800,1784000
25736,1,1753500,132200,1461100
25737,1,1985200,147300,1636300
25738,1,2208900,170800,1767200
25739,1,2140900,201500,1722600
25740,1,2039700,164900,1706600
25741,1,2266400,169400,1831800
25742,1,2225800,174300,1840300
25743,1,2243100,156300,1903900
25744,1,2099000,124800,1807700
25745,1,2123200,136500,1783200
25746,1,1774100,137800,1386800
25747,1,1888100,142900,1535600
25748,1,2690200,155800,2334100
25749,1,2325000,168400,1870300
25750,1,1819000,153100,1433500
25751,1,2349700,143600,2005000
25752,1,2001800,140100,1651600
25753,1,2032800,134200,1680800
25754,1,1930600,137400,1577200
25755,1,2154600,126700,1832800
25756,1,1998600,141700,1685100
25757,1,2284500,150500,1957400
25758,1,2560300,240800,2049100
25759,1,2092700,160400,1692400
25760,1,1930200,156200,1581500
25761,1,2111600,124000,1742600
25762,1,1900000,166700,1482600
25763,1,1708200,142400,1369100
25764,1,1770500,142500,1477500
25765,1,2206700,157500,1821400
25766,1,2383200,178300,2016000
25767,1,1737300,162200,1392100
25768,1,1683100,147600,1343300
25769,1,2357200,184800,1969500
25770,1,2414400,169400,2030400
25771,1,2753900,156800,2397600
25772,1,1952800,135900,1597200
25773,1,2285500,151100,1897600
25774,1,2411400,178000,2016600
25775,1,2411100,173900,1980800
25776,1,2111300,179500,1703700
25777,1,2371300,178300,2000000
25778,1,2402000,163900,2010500
25779,1,2227000,145800,1855300
25780,1,1781700,147100,1490500
25781,1,2333600,146600,1997900
25782,1,2465400,148200,2067500
25783,1,1966500,148000,1668900
25784,1,1746600,145400,1443100
25785,1,2246300,162000,1861100
25786,1,2168000,180800,1784200
25787,1,2356600,169600,2031900
25788,1,1997700,175100,1617200
25789,1,2140400,160300,1756000
25790,1,1938600,149200,1565400
25791,1,2301300,160200,1850500
25792,1,2205700,162700,1767600
25793,1,2205900,231100,1743500
25794,1,1838100,161100,1461400
25795,1,2015200,150400,1670900
25796,1,2314700,178900,1915100
25797,1,2292600,224700,1885300
25798,1,1942000,153100,1546300
25799,1,2231100,160800,1846400
25800,1,2390600,182000,1983600
25801,1,2223200,172500,1836600
25802,1,1749700,168800,1428100
25803,1,2785600,197800,2422900
25804,1,2411800,168600,2038100
25805,1,2158500,149900,1756800
25806,1,2223100,163700,1795300
25807,1,2107700,177100,1716900
25808,1,2503000,165000,2138500
25809,1,2315500,165200,1946400
25810,1,2115800,163700,1707000
25811,1,2285200,148100,1946100
25812,1,2196400,171800,1821400
25813,1,2562600,146000,2195600
25814,1,2295900,146300,1882900
25815,1,2236600,161100,1733300
25816,1,2078900,152400,1644800
25817,1,2204400,154300,1850000
25818,1,2216800,163100,1797500
25819,1,2339200,278900,1819600
25820,1,1875200,150000,1533400
25821,1,1829800,124200,1473200
25822,1,1870400,126700,1518400
25823,1,1830600,119000,1501800
25824,1,1624900,117300,1288300
25825,1,1830500,143100,1548700
25826,1,1827700,121600,1503900
25827,1,1890000,124200,1581400
25828,1,1844700,174500,1464800
25829,1,1570500,147400,1266200
25830,1,1973200,132400,1653100
25831,1,1707400,134800,1353900
25832,1,1754600,122100,1439900
25833,1,1757800,149100,1400600
25834,1,2050700,163200,1642800
25835,1,2102900,158200,1755700
25836,1,2162500,177300,1559000
25837,1,1807400,211100,1353100
25838,1,2022700,163800,1634300
25839,1,2653700,195900,2210500
25840,1,2003100,164000,1640400
