fileName,run,wholeUpdate_average,controlBehaviorUpdate_average,transportLinesUpdate_average,electricHeatFluidCircuitUpdate_average,electricNetworkUpdate_average,fluidFlowUpdate_average,entityUpdate_average,trains_average
15_yoyonas,4,1758078.8561235298,86871.73198060092,124787.64145158594,58631.395284018065,47023.434974078824,29323.546463013547,1458015.0677295278,168.37616366575617
15_yoyonas,5,1739042.3323485143,87443.24655777914,124841.11711912592,58143.625620157196,46714.616199342214,28972.529126484198,1440371.430960477,142.76158091309438
14_redphoenixq,0,1535338.3800657785,88850.18116951892,112993.79006633592,54131.69072969508,45523.033613913816,32694.107809799876,1256674.4077150342,159.3957299738001
14_redphoenixq,1,1552912.1076983109,94147.031607113,118611.51123251018,58705.80299905234,48250.84452868053,38896.226099559615,1258172.4455097832,169.88683873125592
14_redphoenixq,2,1553183.1094263894,92356.10123195272,117424.25441774903,58845.821952171245,48437.44913317353,39034.22710296003,1261006.1318914099,167.14978538380066
14_redphoenixq,3,1572165.8174926138,92424.86760689001,117664.46290205697,59355.103405986956,49088.13200289871,38975.46128546742,1278556.435698757,162.9968225653604
14_redphoenixq,4,1555361.7983165171,94461.41925413902,118720.95434528124,59194.76002006801,48622.587658174925,38476.78242934389,1259555.7444673616,161.2464462902057
14_redphoenixq,5,1560938.6587881153,93060.46602374714,118210.38519426947,59103.39483806232,48524.4328000446,38433.8368916885,1266606.9903562071,161.69240202909862
13_yuu,0,2326154.027537767,57725.140754780085,86118.76916216065,80952.37192708623,55083.41602095992,70947.59462623335,1526778.7836557222,547010.8701711355
13_yuu,1,2330724.783990189,57448.915770109816,86291.87803110541,80686.13635096716,54968.22565360388,70753.81013434417,1530076.3308991583,548595.5069959307
13_yuu,2,2325426.9524499695,57844.62344612297,84116.86270137689,80342.64451753163,54759.22292212498,70430.99949829979,1528729.054016389,546755.6274039801
13_yuu,3,2323079.441440437,58374.20703495178,85024.53871453258,81075.90166675957,54896.15363175205,70885.21099280896,1523400.674508055,548014.1646691565
13_yuu,4,2353541.3010758683,57046.32922682424,85382.95334188081,81029.20452645075,55144.32800044596,71068.56569485478,1547036.384413847,555504.6323652378
13_yuu,5,2340198.1548581305,57813.741011204635,84810.75310775406,80441.84179720163,54771.48670494453,70430.28596911757,1540179.909693963,549027.2646189865
11_thaeln,0,1194723.9533976254,79382.14504710407,61923.507441886395,52261.32448854451,44835.54267238976,37510.44651318357,979582.3011316127,158.43135068844418
11_thaeln,1,1211378.2150621552,84155.71659512793,65923.63565416132,56983.76163665756,47573.74435587268,43359.847260159426,982130.1689057361,170.7007079547355
11_thaeln,2,1209207.246780757,84187.64702603266,66029.60588661575,57153.759964323544,47400.256424549865,43909.866770723005,979568.6437371091,164.76392218072357
11_thaeln,3,1231053.4199230727,83746.74173588271,66117.08567924633,56710.16221640002,47276.15809130944,43876.00758124756,1002304.9779809354,150.33725402753777
