tick,run,wholeUpdate,entityUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate
2414,0,662900,373600,78800,76600,100300
2415,0,1900500,1613900,71500,103700,79000
2416,0,1016800,505800,115000,273300,85200
2417,0,689200,347900,85800,107600,100500
2418,0,840700,536400,83900,79500,77100
2419,0,516100,204800,80800,80600,92900
2420,0,657100,386100,92500,61600,83500
2421,0,2232500,1867700,101000,86000,122400
2422,0,773700,424400,92000,79800,108800
2423,0,487300,187600,91500,86500,96000
2424,0,550400,282200,85300,68800,91100
2425,0,435500,170800,80600,67300,86200
2426,0,1985700,1696500,99700,82700,80100
2427,0,553700,256100,93000,66100,104800
2428,0,579200,273800,98100,71400,102400
2429,0,459200,155500,84000,73200,94100
2430,0,630800,318200,86100,68000,95400
2431,0,2233600,1886100,102900,74600,124800
2432,0,714600,366800,92300,93800,111500
2433,0,826300,227500,381600,89000,95100
2434,0,1016800,674200,89300,84600,110300
2435,0,626300,340300,89600,86400,80400
2436,0,2087500,1710600,134100,71000,116300
2437,0,562900,246400,94900,88900,95500
2438,0,1339400,946100,87200,100100,79200
2439,0,1198500,849200,86700,75500,95800
2440,0,1259800,927100,102800,98300,109700
2441,0,681300,393000,85200,85700,92200
2442,0,2809200,2473700,101800,72400,139800
2443,0,684700,369900,99000,91600,99300
2444,0,618200,346300,80200,87000,87200
2445,0,585600,251800,82300,78400,148500
2446,0,675400,370400,82500,78500,96300
2447,0,1921200,1659200,77600,67900,101400
2448,0,742200,414100,105200,90300,112300
2449,0,618600,209600,79200,86300,220000
2450,0,933900,475000,98300,228200,95300
2451,0,763500,390600,101500,113500,94700
2452,0,2296700,1978300,104700,69200,114800
2453,0,676700,235500,124700,109200,114500
2454,0,754200,424600,96500,92300,101000
2455,0,534200,201100,87500,122800,84500
2456,0,1796900,1488900,94800,73200,100800
2457,0,703600,212700,209500,116500,126200
2458,0,2310200,1867900,104100,150000,90700
2459,0,532800,199400,87600,95300,95000
2460,0,631800,325400,80400,89900,104500
2461,0,489700,185700,90400,100600,83400
2462,0,538500,267700,78500,76000,91000
